Info,Data
Нурбек Даирбеков стал вице-министром сельского хозяйства,"06 ноября, 18:11"
"6,8 миллиарда тенге планируют выделить в Нур-Султане на ливневки","06 ноября, 17:50"
В Минздраве ответили на сообщение о подорожании лекарств,"06 ноября, 17:43"
Шашлычные мангалы и тандырные печи могут запретить в Алматы,"06 ноября, 17:04"
В Казахстане перенесли дни отдыха в 2020 году,"06 ноября, 16:56"
Касым-Жомарт Токаев принял Армана Шураева и Айдоса Сарыма,"06 ноября, 16:54"
Девушка-инвалид обвинила полицейских в избиении: на нее завели дело,"06 ноября, 16:54"
16 полицейских наказали за утечку документа об изнасиловании,"06 ноября, 16:03"
Абырой Азаматов стал транспортным прокурором Талдыкоргана,"06 ноября, 15:53"
Мамин рассказал о повышении качества жизни 7 миллионов сельчан,"06 ноября, 15:00"
Нарушители с иностранными автономерами получат штрафы до конца года - МВД,"06 ноября, 14:33"
Вернуть ночной тариф на электричество предложили в Казахстане,"06 ноября, 14:24"
Что будет с реверсивным движением в Нур-Султане,"06 ноября, 14:07"
Павлодарка спустя 12 лет нашла пропавшего сына в России,"06 ноября, 13:40"
Министр обороны Казахстана поздравил военных разведчиков,"06 ноября, 13:40"
Алматинцы пожаловались на перебои с мобильной связью,"06 ноября, 13:20"
Штраф за вождение без прав повысят в 5 раз,"06 ноября, 13:03"
"У защитников природы появятся ""мигалки""","06 ноября, 12:59"
Новый облик предложили для алматинского театра Ауэзова,"06 ноября, 12:47"
Ең болмағанда қарапайым білімдеріңіз болсын - Божко гептил жайлы айтқан вице-министрге,"06 ноября, 12:34"
Гололед и похолодание придут на север и запад страны,"06 ноября, 12:11"
"Полицейские нашли пранкеров, разозливших водителей в Актау","06 ноября, 12:10"
Избиение известного психолога: судят алматинского таксиста,"06 ноября, 11:58"
Как используют возвращенные Казахстану земли на космодроме Байконур,"06 ноября, 11:49"
Что делают с изъятыми у браконьеров ценным мясом и рогами,"06 ноября, 11:35"
Денег в экономике мало - Даленов Нигматулину о поддержке бизнеса,"06 ноября, 11:08"
"""Неописуемые страдания"" предрекли человечеству","06 ноября, 11:02"
Чиновники должны быть скромны - министр Атамкулов о своем костюме,"06 ноября, 10:53"
Назначен заместитель главы КУИС МВД,"06 ноября, 10:11"
"Как выглядят арендные квартиры для молодежи в Нур-Султане, Алматы и Шымкенте","06 ноября, 10:01"
Глава МВД представил нового начальника полиции на транспорте,"06 ноября, 09:33"
Санжар Адилов возглавил Следственный департамент МВД,"06 ноября, 09:29"
Воду отключат в нескольких микрорайонах Алматы,"06 ноября, 09:20"
Этнические казахи Астраханской области забывают родной язык,"06 ноября, 08:25"
ДТП с 11 погибшими близ Кордая: водителю автобуса вынесли приговор,"06 ноября, 07:02"
"В Павлодаре ищут 15-летнюю школьницу, сбежавшую с мужем родной тети","06 ноября, 06:36"
Пранкеры разозлили актауских водителей,"06 ноября, 03:48"
Жители села в СКО гибнут при загадочных обстоятельствах,"05 ноября, 21:41"
Карагандинка обнаружила прописанными в своей квартире 8 чужих людей,"05 ноября, 20:16"
Автобус врезался в жилой дом в пригороде Костаная,"05 ноября, 20:02"
Полтонны черной икры под видом изюма пытались вывезти из РК,"05 ноября, 19:57"
"Мужчину, укрывавшего опасную троицу из Жанаозена, осудили","05 ноября, 19:53"
Нурсултан Назарбаев посетил завершенные объекты в Туркестане,"05 ноября, 19:05"
Назарбаев: Планируем пригласить президентов в Туркестан,"05 ноября, 18:56"
Названы регионы с самым большим количеством ВИЧ-инфицированных,"05 ноября, 18:45"
Мэттью Макконахи завел аккаунт в Instagram,"05 ноября, 18:29"
В Казахстане увеличили тюремный срок для браконьеров,"05 ноября, 18:27"
Касым-Жомарт Токаев принял Аружан Саин,"05 ноября, 18:01"
Опубликован список должников по налогам в Нур-Султане,"05 ноября, 17:55"
Семья в Шымкенте могла отравиться газом - Минздрав,"05 ноября, 17:41"
Полиция предупредила жителей Нур-Султана,"05 ноября, 17:05"
Назарбаев: Скоро мы обретем прекрасный город на юге страны,"05 ноября, 16:48"
Бесплатно сдать тест на ВИЧ могут казахстанцы,"05 ноября, 16:43"
Землетрясение произошло в 300 километрах от Алматы,"05 ноября, 16:35"
Токаев встретится с Путиным в Омске,"05 ноября, 15:09"
10-летний алматинец написал трогательное письмо Токаеву,"05 ноября, 14:26"
Пельмени изъяли из магазина после отравления детей в Шымкенте,"05 ноября, 13:52"
"""Таныстарым минадан жарылып кетті"". ДАИШ құрамында снайпер болған жігіттің оқиғасы","05 ноября, 13:19"
Алматы и Санкт-Петербург разработают дорожную карту сотрудничества,"05 ноября, 13:15"
Компания Facebook сменила логотип,"05 ноября, 13:12"
"Дан старт голосованию проекта ""100 новых лиц Казахстана""","05 ноября, 13:08"
В Нур-Султане стали чаще подделывать транспортные карты,"05 ноября, 12:59"
Пастух складировал оружие в горах Алматинской области,"05 ноября, 12:27"
Жизнь на границе с Китаем. Здесь перестает работать казахстанская связь,"05 ноября, 12:14"
Ее называли казахской Джиной Лоллобриджидой - коллеги о Раисе Мухамедьяровой,"05 ноября, 12:13"
"Иностранец умер в автобусе, застрявшем из-за бурана на трассе в Актюбинской области","05 ноября, 12:10"
Чиновницу от здравоохранения осудили за бытовую коррупцию в Нур-Султане,"05 ноября, 11:43"
"С чего начинался проект ""Кок-Жайляу""","05 ноября, 11:30"
Год тюрьмы добавили осужденному акиму в Алматинской области,"05 ноября, 11:21"
Назарбаев посетил Дворец бракосочетания в Туркестане,"05 ноября, 11:10"
Автор скульптуры Маншук Маметовой обратилась к жителям Семея,"05 ноября, 11:06"
Выигравший в лотерею 5 миллионов тенге пенсионер рассказал свою историю удачи,"05 ноября, 11:00"
Учитель ударила школьницу на уроке в Костанае,"05 ноября, 10:52"
Казахстан обеспокоен торговыми разбирательствами Украины,"05 ноября, 10:34"
Как выглядит личная библиотека Елбасы и что в ней хранится,"05 ноября, 10:10"
Кто заказал деревянную скульптуру Маншук Маметовой в Семее,"05 ноября, 09:53"
"Сотрудники ""Охотзоопрома"" причастны к отстрелу 154 сайгаков - МВД","05 ноября, 09:48"
"""Девочка из аниме"". Модель-казашка рассказала о жизни в Корее","05 ноября, 08:51"
Жителей нескольких регионов Казахстана предупредили о плохой погоде,"05 ноября, 07:55"
Сколько дней отдохнут казахстанцы в декабре,"05 ноября, 04:06"
Думал о Туркестане в качестве столицы - Назарбаев,"04 ноября, 23:25"
Избитый пенсионер отказался примиряться с водителем Lexus,"04 ноября, 21:33"
Строительный рынок горел по трассе Алматы - Бишкек,"04 ноября, 20:09"
Скандал в стоматологии Актау: мать ребенка рассказала свою версию инцидента,"04 ноября, 19:41"
Казахстанских детей вернут из иракских тюрем,"04 ноября, 19:07"
Полицейская погоня за Hummer в Актау. Снимавшему видео грозит штраф,"04 ноября, 18:39"
"Молодежный марафон ""Ел үміті"" прошел в Актобе","04 ноября, 18:31"
Издевательство над третьеклассником в Экибастузе: родителей школьников оштрафовали,"04 ноября, 18:28"
"Акимат о доме с ""кривым"" балконом в столице: Необходимости выселения нет","04 ноября, 18:26"
Левые повороты отменяют на нескольких улицах Нур-Султана,"04 ноября, 18:22"
Назарбаев прибыл в Туркестан,"04 ноября, 18:12"
Отравление детей в Шымкенте. Врачи прокомментировали ЧП,"04 ноября, 18:10"
На акима района Алматы подали в суд,"04 ноября, 17:39"
Времянки в Нур-Султане пообещали подключить к газу,"04 ноября, 17:34"
"""Прожженный опер"". В полиции рассказали о погибшем в ДТП начальнике","04 ноября, 17:34"
Кайрат Мами возглавил Ассоциацию азиатских конституционных судов,"04 ноября, 17:24"
"""Селфи жасаған"" Михаэлис, эротикалық мүсін, плагиат. Қазақстандағы оғаш ескерткіштер","04 ноября, 17:06"
Строительство дороги Атырау - Астрахань завершится в 2022 году - Ногаев,"04 ноября, 17:03"
Средняя зарплата в Нур-Султане вырастет до 280 тысяч тенге - акимат,"04 ноября, 17:03"
200 фур из-за бурана застряли на трассе в Актюбинской области,"04 ноября, 17:03"
"""Когда весь зал с тобой поет"". Что исполнит Айкын на Máńgilik El Daýysy","04 ноября, 16:52"
"Завершено расследование по делу казахстанца, сбившего ребенка в Корее","04 ноября, 16:30"
Арманбек Баймурзин возглавил полицию Акмолинской области,"04 ноября, 16:00"
"Международный научный форум ""Инновации в здравоохранении"" пройдет в Алматы","04 ноября, 15:55"
Деревянную скульптуру Маншук Маметовой убрали из парка Семея,"04 ноября, 15:54"
Тенге укрепится - экономисты,"04 ноября, 15:49"
Хлеб подорожал в Уральске,"04 ноября, 15:46"
Депутат о миллиардах на Год молодежи: Казахстанцы вправе требовать отчет,"04 ноября, 15:43"
"Свыше 900 жительниц Атырауской области стали участницами проекта ""Іскер ана""","04 ноября, 15:27"
"""Я был чемпионом по боксу. Потом убил человека"". Жизнь в детской колонии","04 ноября, 15:03"
85 процентов платежей в общественном транспорте Атырау осуществляется в электронном виде,"04 ноября, 14:58"
Минимальную зарплату для арендного жилья предложили понизить,"04 ноября, 14:23"
Крупные магазины оштрафовали за SIM-карты без регистрации,"04 ноября, 14:21"
"Алматинцам посоветовали ""переобуть"" авто","04 ноября, 14:09"
Дноуглубительные работы на реках Урал и Кигач дают положительные результаты - Ногаев,"04 ноября, 13:55"
Вопросы внедрения ОСМС обсудили в Алматы,"04 ноября, 13:38"
"""Кривой"" балкон дома в Нур-Султане напугал астанчан","04 ноября, 13:30"
"Определились номинанты премии ""Народный любимец - 2019""","04 ноября, 13:28"
"""100 новых лиц Казахстана"" попросили убрать их фото с заборов","04 ноября, 13:20"
"Қымыз палатасы, ортақ әліпби және той кортеждеріне рұқсат - Іске аспай қалған даулы ұсыныстар","04 ноября, 12:43"
В Казахстане похолодает до минус 10,"04 ноября, 12:39"
Назначен новый глава полиции Павлодарской области,"04 ноября, 12:34"
Жастар мүмкіндіктерді пайдаланбайды - депутат,"04 ноября, 12:33"
Когда будут строить арендное жилье для молодежи в регионах,"04 ноября, 12:16"
Главного налоговика Павлодарской области оправдали по делу о взятке,"04 ноября, 12:01"
Министр описал казахстанское поколение Z,"04 ноября, 11:53"
Қазақстандық жастардың басты 3 проблемасы аталды,"04 ноября, 11:39"
2 детей умерли от отравления в Шымкенте,"04 ноября, 11:27"
Автор ответила критикам деревянной Маншук Маметовой,"04 ноября, 11:19"
Шалкар Байбеков стал акимом в ВКО,"04 ноября, 11:16"
Учитель-бунтарь. Как директор спасал трудных детей и судился с чиновниками,"04 ноября, 10:54"
Новые мосты построили вокруг термального источника Алма-Арасан,"04 ноября, 10:25"
Гололед ожидается в Нур-Султане,"04 ноября, 07:32"
Прогноз погоды на ближайшую неделю в Алматы,"04 ноября, 03:44"
В США озвучена причина смерти усыновленного казахстанца,"04 ноября, 02:58"
"Скелет акулы, жившей 40 миллионов лет назад, нашли в Мангистау","04 ноября, 01:45"
Дождь со снегом. В 5 областях объявили штормовое предупреждение,"03 ноября, 17:35"
Из древнего казахского кладбища в Омске хотят сделать мемориальный комплекс,"03 ноября, 12:50"
В Казахстане ужесточат правила трудоустройства иностранцев,"03 ноября, 11:30"
Заявление Трампа о Казахстане прокомментировали в МИД,"03 ноября, 09:57"
Метель и гроза ожидаются в Казахстане,"03 ноября, 08:55"
В полиции Атырау ответили на слухи об освобождении виновника смертельного ДТП,"03 ноября, 02:16"
Жестокое обращение врача с ребенком. Стоматолог обратился к казахстанцам,"02 ноября, 20:16"
В ЗКО открылся откормочный комплекс КРС,"02 ноября, 19:15"
Жестокое обращение врача с ребенком прокомментировали в Управлении здравоохранения,"02 ноября, 17:02"
Димаш Кудайберген стал лицом мирового бренда часов,"02 ноября, 15:48"
Жестокое обращение врача с ребенком в Актау попало на видео,"02 ноября, 14:46"
"Казахстанца номинировали на звание ""Лучший боец ММА года в мире""","02 ноября, 14:10"
Что предложил Аскар Мамин на встрече ШОС,"02 ноября, 13:32"
Военные поддержали казахстанских спортсменов в Tetris challenge,"02 ноября, 12:35"
Казахстан предложил создать в ШОС совет по цифровой экономике,"02 ноября, 12:17"
"ТРЦ ""Хан-Шатыр"" оцепили в Нур-Султане","02 ноября, 11:36"
Мужчина угнал 8 авто и обворовал дом в Нур-Султане,"02 ноября, 11:22"
За распространение порнографии в соцсети осужден житель Костаная,"02 ноября, 10:56"
Казахстанский боец сделал неожиданное заявление о завершении карьеры,"02 ноября, 10:04"
Куда сходить в выходные в Нур-Султане и Алматы,"02 ноября, 09:01"
Сельский аким материл подчиненных. Разговор записали,"02 ноября, 01:57"
Вторую печь запустили на ферросплавном заводе YDD Corporation в Караганде,"01 ноября, 22:59"
"Алматинке пришлось доказывать, что родился не Максим, а Анна","01 ноября, 22:38"
Загрязнители окружающей среды отделываются небольшими штрафами - Дарига Назарбаева,"01 ноября, 20:43"
Конференция памяти общественного деятеля Марата Оспанова прошла в Актобе,"01 ноября, 19:42"
Вице-министр ответила на критику домашних заданий с желудями,"01 ноября, 19:22"
17-летнюю девушку пытались похитить в Алматинской области,"01 ноября, 19:01"
Аскар Мамин провел переговоры с президентом Узбекистана,"01 ноября, 18:45"
600 получателей АСП скрывали свои доходы в Алматы,"01 ноября, 18:25"
Убийство девочки в гостинице Алматы: что известно об отце,"01 ноября, 18:13"
Какой будет погода в ноябре,"01 ноября, 17:54"
200 мыңнан 15 миллион теңгеге дейінгі пара. Өткен айдың атышулы сот істері,"01 ноября, 17:53"
Сагинтаев рассказал об отношении алматинцев к Есимову,"01 ноября, 17:49"
В Алматы предложили открыть региональный центр ООН,"01 ноября, 17:42"
Тимур Примбетов стал послом в Латвии,"01 ноября, 17:28"
"Вице-министр ответила на жалобы на ""Кунделик""","01 ноября, 17:21"
Темиртай Избастин назначен послом Казахстана в Болгарии,"01 ноября, 17:17"
SCAT открыл новый рейс в Саудовскую Аравию,"01 ноября, 17:12"
Токаев назначил нового посла Казахстана в Китае,"01 ноября, 17:05"
"Завершен прием заявок в третий сезон проекта ""100 новых лиц Казахстана""","01 ноября, 16:38"
Появилось видео задержания закладчиков,"01 ноября, 16:34"
В Казахстане проложат 20 000 километров волоконно-оптических линий связи,"01 ноября, 16:32"
Школьница пропала в Жамбылской области,"01 ноября, 16:13"
Обрушение потолка в ЕНУ: в министерстве рассказали о судьбе педагога,"01 ноября, 16:08"
Причину тяги к выпивке назвали ученые,"01 ноября, 15:58"
Вице-министр образования озвучила свою заработную плату,"01 ноября, 15:38"
Казахстанцы отправили за рубеж около 470 миллиардов тенге,"01 ноября, 15:21"
Петицию против СОР и СОЧ прокомментировала вице-министр,"01 ноября, 15:20"
"Офицерлер үйі, кинотеатр, музей. 111 жыл бұрын салынған ғимараттың тарихы","01 ноября, 15:09"
Загрязнение воздуха в элитном районе Алматы: предприятию грозит штраф,"01 ноября, 14:50"
"В ""Охотзоопроме"" высказались о помощи семье Ерлана Нургалиева","01 ноября, 14:29"
Матерей-одиночек обманывали в Алматы,"01 ноября, 14:12"
"""Маған өлім жазасын берді"". Сирияда әкесі мен ағасынан айырылған жігіттің оқиғасы","01 ноября, 13:59"
Новую школу поручил построить Токаев в Нур-Султане,"01 ноября, 13:56"
"Токаев: Казахстанцы, которые ищут дорогу к успеху, всегда ее найдут","01 ноября, 13:50"
Как повысятся тарифы на электроэнергию,"01 ноября, 13:29"
Посольство Израиля возобновило работу в Нур-Султане,"01 ноября, 13:03"
В любой семье не без урода - МВД о полицейских-наркоторговцах,"01 ноября, 12:53"
Следователь СЭР осужден в Алматы за мошенничество в Жамбылской области,"01 ноября, 12:45"
"Почему Казахстан не легализовывает марихуану, объяснили в МВД","01 ноября, 12:26"
Цена на уголь в Казахстане выросла на 100 процентов за 4 года,"01 ноября, 12:24"
"""Пытался спасти сына"". Пострадавший ребенок пошел на поправку","01 ноября, 12:20"
Внушительный арсенал оружия изъяли у алматинца,"01 ноября, 12:14"
"В 11 аэропортах Казахстана ""открыли небо""","01 ноября, 12:05"
"Таксист, угрожая ножницами, ограбил пенсионерку в Нур-Султане","01 ноября, 11:58"
5 наркогруппировок ликвидировали в Казахстане,"01 ноября, 11:57"
5 сел исчезнут в Костанайской области,"01 ноября, 10:12"
В Алматы стали меньше воровать - полиция,"01 ноября, 09:39"
Адресную справку отменили в Казахстане,"01 ноября, 09:34"
Грозы на юге и метель на севере. Какой будет погода 1 ноября,"01 ноября, 09:21"
Истощенные от голода брат и сестра попали в больницу Кордая,"01 ноября, 09:10"
"Назван новый срок сдачи 10-полосной дороги на ""Алтын Орде""","01 ноября, 08:49"
Более 200 малоимущих семей в Уральске обязали вернуть госпособия,"01 ноября, 03:36"
"""У нас тогда ничего не было, и казахи нас приютили""","01 ноября, 02:30"
Опубликовано новое видео с места перестрелки в Шымкенте,"01 ноября, 00:45"
Алматинцы пожаловались на запах гари и черный дым,"31 октября, 19:54"
В Нур-Султане объявили штормовое предупреждение,"31 октября, 19:40"
Загадочно пропавший в Караганде инвалид записал видеообращение,"31 октября, 19:11"
Токаев выразил соболезнования президенту Пакистана,"31 октября, 18:57"
Токаеву представили план развития Шымкента,"31 октября, 18:00"
Трудоустроить Президентский кадровый резерв поручил Токаев,"31 октября, 17:59"
Убийство егеря Ерлана Нургалиева: один из подсудимых оказался экс-полицейским,"31 октября, 17:49"
Рейтинг коррумпированных вузов составили в Казахстане,"31 октября, 17:45"
Сергазы Омаш получил новую должность,"31 октября, 17:18"
Как подать документы на арендное жилье для молодежи,"31 октября, 17:07"
Коррупция в Атырауской области на недопустимо высоком уровне - сенатор,"31 октября, 16:42"
Где в Нур-Султане будут выдавать жилье молодежи,"31 октября, 16:36"
19 сайгаков убили за месяц в Актюбинской области,"31 октября, 15:04"
Мне звонили и просили помочь - Жаилганова о Президентском резерве,"31 октября, 14:59"
Почему имена шейхов предлагают присвоить школам в Нур-Султане,"31 октября, 14:47"
Чиновникам рекомендовали не носить короткие носки и мятые костюмы,"31 октября, 14:38"
"Жестко контролировать ""АрселорМиттал Темиртау"" пообещал министр","31 октября, 14:37"
Военных и полицейских предложили обязать отчитываться о доходах,"31 октября, 14:12"
"""Казахтелеком"" получил рекордную прибыль с начала года","31 октября, 14:00"
Главного архитектора Семея заподозрили во взятке,"31 октября, 13:59"
Ногаев рассказал в Nur Otan о работе по противодействию коррупции в области,"31 октября, 13:40"
Каждый должен заниматься своим делом - имам о лекции Тазабека полицейским,"31 октября, 13:35"
Запретить УДО коррупционерам предложил Шпекбаев,"31 октября, 13:04"
В Казахстане продолжают реализовывать социально-образовательные проекты,"31 октября, 12:48"
Названы лучшие хоррор-фильмы десятилетия,"31 октября, 12:47"
"Шпекбаев: Руководители берут взятки из алчности, простые специалисты - от нужды","31 октября, 12:29"
Мы не согласны - Антикоррупционная служба о снятии обвинений с Манзорова,"31 октября, 12:08"
Контрабандный Lexus пытались провезти через Казахстан,"31 октября, 12:08"
Автобус заблокировали в Павлодаре: перевозчик объяснил ситуацию,"31 октября, 11:52"
В Казахстане стали меньше снимать кино и записывать песни,"31 октября, 11:49"
Кому присудили 3 тысячи образовательных грантов,"31 октября, 11:49"
Имена шейхов предложили присвоить школам в Нур-Султане,"31 октября, 11:27"
10 процентов от взятки хотят платить казахстанцам за информацию о коррупционерах,"31 октября, 11:23"
Неоднозначное видео с Багдатом Манзоровым прокомментировал его адвокат,"31 октября, 10:59"
Аскар Мамин провел переговоры с премьер-министром Нидерландов,"31 октября, 10:36"
В элитном районе Алматы из-за загрязнения воздуха носят маски,"31 октября, 10:01"
Twitter запретит политическую рекламу,"31 октября, 09:26"
Маулен Ашимбаев возглавил совет директоров нового института,"31 октября, 09:08"
За что осудили чиновников из Минкультуры,"31 октября, 08:55"
Главный загрязнитель воздуха? Что известно о ТЭЦ-2 в Алматы,"31 октября, 08:45"
Глава компании из Монако признался в даче взяток казахстанским чиновникам,"31 октября, 06:51"
"Казахстанцы собрали миллион тенге для параспортсменки, у которой украли деньги на протез","31 октября, 00:52"
Водитель автобуса вернул пассажирке сумку с деньгами в Алматы,"30 октября, 23:19"
Жители ЗКО мешками вывозят высыпанный в степи лук,"30 октября, 22:34"
"В ""Алматытеплокоммунэнерго"" назначен новый руководитель","30 октября, 20:48"
"Менторов, бесплатно обучавших матерей, наградили в столице","30 октября, 20:32"
Павлодарцы вышли на защиту бывшего школьного стадиона,"30 октября, 20:31"
"""Избили из-за 100 тысяч тенге"". Убийцам Зинура Хамитова оставили приговор","30 октября, 20:23"
КНБ опубликовал откровения вернувшегося из Сирии казахстанца,"30 октября, 20:10"
"Канадская компания не смогла отсудить у Казахстана 1,9 миллиарда долларов","30 октября, 19:38"
Паралимпиец дал совет казахстанцам: никогда не опускайте руки,"30 октября, 19:28"
Названа причина пробок в Нур-Султане,"30 октября, 19:20"
"""Астана ЭКСПО-2017"" выступит оператором организации и проведения Министерской конференции ВТО","30 октября, 19:07"
Казахстанские миротворцы успешно прошли инспекцию в Ливане,"30 октября, 18:39"
Токаев выразил соболезнования президенту Южной Кореи,"30 октября, 18:31"
Встреча в Париже и опера в Москве. Как будут праздновать 175-летие Абая,"30 октября, 18:31"
Экс-ответсекретарю Минкультуры вынесли приговор,"30 октября, 18:22"
"Очередь в детские сады Нур-Султана ""почистят""","30 октября, 18:18"
"""Балалар аштан өлді"". Отбасымен Сирияға кеткен жігіттің оқиғасы","30 октября, 17:15"
Экс-помощнику генпрокурора вынесли приговор в Алматы,"30 октября, 17:10"
Ипотечники собрались у здания правительства в Нур-Султане,"30 октября, 17:09"
Токаев в Алматы принял членов Нацсовета,"30 октября, 16:24"
Израиль закрыл посольство в Казахстане,"30 октября, 16:08"
Заседание совета матерей Ассамблеи народа Казахстана проходит в Костанае,"30 октября, 15:51"
Видео с места перестрелки в Шымкенте появилось в Сети,"30 октября, 15:30"
Искоренить взяточничество при трудоустройстве намерены в КТЖ,"30 октября, 15:21"
Адресные справки отменят не для всех казахстанцев,"30 октября, 15:06"
"Ляззат Ибрагимова о проблемных вопросах реализации программы ""Бақытты отбасы""","30 октября, 15:00"
Как упростят пребывание иностранцев в Казахстане,"30 октября, 14:41"
Штраф алматинцу из-за армянского блогера объяснили в полиции,"30 октября, 14:23"
"Мамин поручил усовершенствовать механизмы госпрограммы ""Еңбек""","30 октября, 14:18"
"Вкладчики ""Эксимбанка"" за возмещением депозитов могут обращаться в ""Казпочту""","30 октября, 13:49"
Командира-военнослужащего заподозрили в коррупции в Алматинской области,"30 октября, 13:32"
Антирейтинг злостных неплательщиков возглавили алматинские полицейские,"30 октября, 13:25"
42 миллиона SIM-карт действует в Казахстане,"30 октября, 13:00"
Прогноз погоды на ближайшие три дня опубликовали синоптики,"30 октября, 12:59"
Жүрегімді елжіретті - экология министрі БҰҰ-да сөз сөйлеген Грета Тунберг туралы,"30 октября, 12:55"
Личинки червей в минтае обнаружили санврачи Нур-Султана,"30 октября, 12:16"
Багдат Манзоров вышел на работу,"30 октября, 11:56"
За нарушение госграницы с Китаем будут наказаны должностные лица,"30 октября, 11:37"
"""Вы нужны нашему народу"" - Токаев встретился с Нурпеисовым","30 октября, 11:34"
Снятие обвинений с Багдата Манзорова прокомментировали в Генпрокуратуре,"30 октября, 11:22"
Часть объектов космодрома Байконур выйдет из аренды,"30 октября, 10:50"
Животных из контактного зоопарка распродают в Алматы,"30 октября, 10:32"
"""Twitter-ге жазсам, бәрі біліп отырады"". Тоқаевтың дереу орындалған тапсырмалары","30 октября, 10:19"
"Проливные дожди, ветер и гололед ожидаются в Казахстане","30 октября, 10:14"
Миллионные взятки за регистрацию иностранцев брали в Костанае,"30 октября, 10:03"
"Владельцев зданий, уязвимых для террористов, оштрафовали на 17 миллионов тенге в Туркестанской области","30 октября, 09:07"
Токаев посетил КазНУ,"30 октября, 08:56"
"Сельчане залезают на крыши, чтобы проверить оценки в ""Кунделик""","30 октября, 07:51"
"Димаш Кудайберген в ""Вечернем Урганте"": стала известна дата","30 октября, 04:39"
Смерть усыновленного казахстанца в США: появились новые подробности,"30 октября, 00:37"
Борис погиб на батуте в Караганде: начинается суд над владельцами,"29 октября, 22:45"
Готовы обеспечить безопасность на дорогах в холода - замакима столицы,"29 октября, 20:36"
"Фото ""нового"" военного флага Казахстана назвали фейком","29 октября, 19:41"
Древнее городище в Уральске превратили в свалку,"29 октября, 19:22"
"Актюбинец нашел на своем участке ""ровесников"" ""Золотого человека""","29 октября, 18:59"
Увольнять Манзорова не будут - акимат,"29 октября, 18:47"
"О забастовке водителей высказались в ""Аксай нан""","29 октября, 18:35"
"""И чиновники, и их дети"" - МВД об ужесточении наказания для нарушителей ПДД","29 октября, 18:15"
До конца года проблему решим - МВД о регистрации иностранцев,"29 октября, 17:39"
"""Көк-Жайлау"" жобасы 17 жыл бойы қалай талқыланды?","29 октября, 17:25"
"Владельца хостела в Алматы оштрафовали из-за ""недовольного"" блогера из Армении","29 октября, 17:23"
Пустой лист бумаги стал символом отсутствия Казахстана на выставке Биеннале,вчера
"Исследование: В городах, где появляется Uber, начинают больше употреблять алкоголь",вчера
В Бишкеке начался митинг против коррупции,вчера
В Алматы выпало более 10 сантиметров снега,вчера
Директора Национального центра тестирования осудили за взятки,вчера
В Алматы проходит выставка японских и европейских гравюр,вчера
Казахстанец занял второе место на Детском Евровидении,вчера
Павел Дуров посоветовал удалить WhatsApp,22 ноября
Маск представил новую Tesla — пикап,22 ноября
В Алматы цены на социальный хлеб не будут расти до февраля,22 ноября
Даурен Абаев прокомментировал изнасилование 12-летней девочки в Таразе,22 ноября
Токаев поручил освободить от должности акима Тараза,22 ноября
"Группа KISS провела концерт для белых акул, но они не приплыли",22 ноября
Более двух тысяч туалетов в казахстанских школах находится на улице,22 ноября
Посидеть на лице: В Казахстане чаще других стран ищут facesitting,21 ноября
Billboard отобрал 100 лучших альбомов десятилетия,21 ноября
Сложную операцию по удалению опухоли у корня языка провели в Алматы,21 ноября
ВКонтакте откроет представительство в Казахстане,21 ноября
В МИД подтвердили задержание казахстанца в Гонконге,21 ноября
"Министр образования призвал остановить травлю 12-летней девочки, изнасилованной в школьном туалете",20 ноября
Казахстанца арестовали в Гонконге. Он участвовал в протестах,20 ноября
Насилие переходит в категорию тяжких преступлений,20 ноября
